	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.1113	0.0767	0.0849	0.0751	0.0804	0.0599	0.0516	0.0870	0.0537	0.0961	0.0815	0.0867	0.0817	0.0921	0.0762	0.0605	0.0954	0.0925
bioasq	0.1113	1.0000	0.2697	0.1499	0.1646	0.1343	0.1442	0.0877	0.1366	0.0966	0.0707	0.1322	0.1481	0.0348	0.1559	0.1808	0.1766	0.4092	0.2707
nfcorpus	0.0767	0.2697	1.0000	0.1562	0.1556	0.1434	0.1456	0.0964	0.1368	0.0960	0.0812	0.1452	0.1563	0.0416	0.1783	0.1574	0.1484	0.2610	0.2751
nq	0.0849	0.1499	0.1562	1.0000	0.3771	0.2306	0.3321	0.1955	0.2190	0.1461	0.1383	0.1799	0.2561	0.0583	0.3202	0.2328	0.1402	0.1406	0.3554
hotpotqa	0.0751	0.1646	0.1556	0.3771	1.0000	0.2078	0.4956	0.2308	0.1796	0.1519	0.1180	0.1549	0.2298	0.0400	0.2568	0.1959	0.1373	0.1513	0.3077
climate-fever	0.0804	0.1343	0.1434	0.2306	0.2078	1.0000	0.1909	0.1135	0.2391	0.1247	0.1220	0.1849	0.3184	0.0523	0.2482	0.2183	0.1385	0.1504	0.2294
fever	0.0599	0.1442	0.1456	0.3321	0.4956	0.1909	1.0000	0.2181	0.1587	0.1401	0.1024	0.1407	0.2050	0.0356	0.2390	0.1669	0.1236	0.1306	0.2583
dbpedia-entity	0.0516	0.0877	0.0964	0.1955	0.2308	0.1135	0.2181	1.0000	0.1082	0.0996	0.0792	0.1156	0.1294	0.0334	0.1597	0.1140	0.0901	0.0870	0.1755
fiqa	0.0870	0.1366	0.1368	0.2190	0.1796	0.2391	0.1587	0.1082	1.0000	0.1465	0.1278	0.1675	0.2932	0.0626	0.3145	0.2763	0.1521	0.1337	0.2686
signal1m	0.0537	0.0966	0.0960	0.1461	0.1519	0.1247	0.1401	0.0996	0.1465	1.0000	0.0955	0.0950	0.1431	0.0433	0.1657	0.1194	0.0917	0.0889	0.1554
trec-news	0.0961	0.0707	0.0812	0.1383	0.1180	0.1220	0.1024	0.0792	0.1278	0.0955	1.0000	0.1090	0.1275	0.0665	0.1508	0.0997	0.0722	0.0728	0.1304
robust04	0.0815	0.1322	0.1452	0.1799	0.1549	0.1849	0.1407	0.1156	0.1675	0.0950	0.1090	1.0000	0.2382	0.0588	0.1935	0.1473	0.1312	0.1415	0.1889
arguana	0.0867	0.1481	0.1563	0.2561	0.2298	0.3184	0.2050	0.1294	0.2932	0.1431	0.1275	0.2382	1.0000	0.0674	0.3127	0.2523	0.1718	0.1670	0.2474
webis-touche2020	0.0817	0.0348	0.0416	0.0583	0.0400	0.0523	0.0356	0.0334	0.0626	0.0433	0.0665	0.0588	0.0674	1.0000	0.0800	0.0432	0.0338	0.0344	0.0618
quora	0.0921	0.1559	0.1783	0.3202	0.2568	0.2482	0.2390	0.1597	0.3145	0.1657	0.1508	0.1935	0.3127	0.0800	1.0000	0.3077	0.1766	0.1500	0.3634
cqadupstack	0.0762	0.1808	0.1574	0.2328	0.1959	0.2183	0.1669	0.1140	0.2763	0.1194	0.0997	0.1473	0.2523	0.0432	0.3077	1.0000	0.2410	0.1643	0.2888
scidocs	0.0605	0.1766	0.1484	0.1402	0.1373	0.1385	0.1236	0.0901	0.1521	0.0917	0.0722	0.1312	0.1718	0.0338	0.1766	0.2410	1.0000	0.1676	0.1956
scifact	0.0954	0.4092	0.2610	0.1406	0.1513	0.1504	0.1306	0.0870	0.1337	0.0889	0.0728	0.1415	0.1670	0.0344	0.1500	0.1643	0.1676	1.0000	0.2357
msmarco	0.0925	0.2707	0.2751	0.3554	0.3077	0.2294	0.2583	0.1755	0.2686	0.1554	0.1304	0.1889	0.2474	0.0618	0.3634	0.2888	0.1956	0.2357	1.0000
