	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.0000	0.3265	0.4325	0.3832	0.3490	0.4131	0.4278	0.4831	0.3809	0.5386	0.4833	0.3892	0.3985	0.4937	0.3324	0.3701	0.4632	0.4126	0.3380
bioasq	0.3265	0.0000	0.2756	0.3024	0.2546	0.3519	0.3199	0.3959	0.3143	0.4563	0.4525	0.3275	0.3346	0.4445	0.2607	0.2655	0.3601	0.1932	0.2220
nfcorpus	0.4325	0.2756	0.0000	0.3605	0.3329	0.3786	0.3626	0.4574	0.3549	0.4468	0.4428	0.3860	0.3468	0.4986	0.3150	0.3213	0.3884	0.2997	0.2653
nq	0.3832	0.3024	0.3605	0.0000	0.1602	0.2727	0.2051	0.3102	0.2694	0.4110	0.3843	0.3090	0.2507	0.4622	0.1912	0.2435	0.3768	0.3488	0.1412
hotpotqa	0.3490	0.2546	0.3329	0.1602	0.0000	0.2677	0.1344	0.2558	0.2608	0.3773	0.3781	0.2800	0.2487	0.4266	0.1960	0.2352	0.3499	0.3343	0.1860
climate-fever	0.4131	0.3519	0.3786	0.2727	0.2677	0.0000	0.2553	0.4027	0.2903	0.4035	0.3694	0.3066	0.1949	0.4912	0.2773	0.2778	0.3803	0.3234	0.2713
fever	0.4278	0.3199	0.3626	0.2051	0.1344	0.2553	0.0000	0.3014	0.3200	0.3856	0.3892	0.3234	0.2664	0.4824	0.2729	0.2901	0.3651	0.3036	0.2397
dbpedia-entity	0.4831	0.3959	0.4574	0.3102	0.2558	0.4027	0.3014	0.0000	0.4148	0.5005	0.4846	0.3971	0.3834	0.5428	0.3480	0.3902	0.4759	0.4440	0.3385
fiqa	0.3809	0.3143	0.3549	0.2694	0.2608	0.2903	0.3200	0.4148	0.0000	0.4004	0.3840	0.3136	0.2324	0.4158	0.1592	0.1868	0.3749	0.3699	0.2032
signal1m	0.5386	0.4563	0.4468	0.4110	0.3773	0.4035	0.3856	0.5005	0.4004	0.0000	0.4629	0.4740	0.3658	0.5768	0.4002	0.3958	0.4374	0.4470	0.3909
trec-news	0.4833	0.4525	0.4428	0.3843	0.3781	0.3694	0.3892	0.4846	0.3840	0.4629	0.0000	0.4173	0.3465	0.5407	0.3625	0.3811	0.4636	0.4450	0.3732
robust04	0.3892	0.3275	0.3860	0.3090	0.2800	0.3066	0.3234	0.3971	0.3136	0.4740	0.4173	0.0000	0.2768	0.4896	0.2744	0.3101	0.4174	0.3735	0.2851
arguana	0.3985	0.3346	0.3468	0.2507	0.2487	0.1949	0.2664	0.3834	0.2324	0.3658	0.3465	0.2768	0.0000	0.4472	0.2238	0.2394	0.3444	0.3247	0.2435
webis-touche2020	0.4937	0.4445	0.4986	0.4622	0.4266	0.4912	0.4824	0.5428	0.4158	0.5768	0.5407	0.4896	0.4472	0.0000	0.3739	0.4295	0.5302	0.5294	0.4097
quora	0.3324	0.2607	0.3150	0.1912	0.1960	0.2773	0.2729	0.3480	0.1592	0.4002	0.3625	0.2744	0.2238	0.3739	0.0000	0.1571	0.3721	0.3594	0.1371
cqadupstack	0.3701	0.2655	0.3213	0.2435	0.2352	0.2778	0.2901	0.3902	0.1868	0.3958	0.3811	0.3101	0.2394	0.4295	0.1571	0.0000	0.3001	0.3204	0.1852
scidocs	0.4632	0.3601	0.3884	0.3768	0.3499	0.3803	0.3651	0.4759	0.3749	0.4374	0.4636	0.4174	0.3444	0.5302	0.3721	0.3001	0.0000	0.3562	0.3349
scifact	0.4126	0.1932	0.2997	0.3488	0.3343	0.3234	0.3036	0.4440	0.3699	0.4470	0.4450	0.3735	0.3247	0.5294	0.3594	0.3204	0.3562	0.0000	0.2927
msmarco	0.3380	0.2220	0.2653	0.1412	0.1860	0.2713	0.2397	0.3385	0.2032	0.3909	0.3732	0.2851	0.2435	0.4097	0.1371	0.1852	0.3349	0.2927	0.0000
