	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	0.0000	0.8684	1.2104	0.7462	0.7585	0.9750	1.2930	0.8085	0.7813	0.6916	0.3507	0.4698	1.4928	0.0969	0.7528	0.8072	1.2754	0.7945	1.0088
bioasq	0.0129	0.0000	0.5026	0.2899	0.2919	0.3043	0.4753	0.2374	0.2766	0.4455	0.2580	0.2235	0.7635	-0.0354	0.2380	0.2802	0.7658	0.2174	0.5217
nfcorpus	-0.1272	0.1396	0.0000	0.1919	0.1725	0.1862	0.2908	0.0562	0.0483	0.0381	-0.0642	0.1263	0.2971	-0.1146	0.1573	0.0534	0.3256	0.1737	0.4869
nq	0.1317	0.3325	0.8115	0.0000	0.4017	0.6059	0.7012	0.3030	0.4954	0.4200	0.2892	0.3607	0.7399	0.1250	0.3881	0.5340	0.6112	0.5250	0.3764
hotpotqa	0.0668	0.1755	0.5187	0.1101	0.0000	0.2604	0.3459	0.2046	0.2533	0.3173	0.1416	0.1570	0.5976	-0.0628	0.2410	0.2827	0.5160	0.2271	0.3651
climate-fever	0.1341	0.3716	0.5439	0.4047	0.3505	0.0000	0.3256	0.2265	0.3176	0.2212	0.0816	0.1568	0.4188	-0.0350	0.4599	0.4055	0.5156	0.2646	0.5812
fever	0.4524	0.4564	0.6341	0.5875	0.4267	0.2448	0.0000	0.3413	0.5090	0.4437	0.2708	0.2471	0.5758	0.0085	0.5776	0.4858	0.6208	0.2158	0.6463
dbpedia-entity	0.0478	0.1895	0.5556	0.4503	0.3900	0.2920	0.5368	0.0000	0.4376	0.3051	0.1592	0.2661	0.6098	-0.0503	0.4495	0.4036	0.5086	0.3336	0.6220
fiqa	0.0527	0.3661	0.5443	0.3418	0.3798	0.3646	0.4981	0.3307	0.0000	0.3579	0.1699	0.2944	0.7307	-0.0875	0.2511	0.2162	0.7219	0.2760	0.5542
signal1m	0.0293	0.3272	0.3889	0.4257	0.4853	0.3753	0.5047	0.3048	0.3168	0.0000	-0.0198	0.2645	0.5522	-0.0502	0.5349	0.3323	0.3154	0.2697	0.6500
trec-news	0.1068	0.4796	0.5825	0.6523	0.5183	0.4569	0.5588	0.3210	0.4225	0.2300	0.0000	0.4011	0.7198	-0.0128	0.6068	0.4833	0.5611	0.4040	0.7161
robust04	0.1521	0.3062	0.5805	0.4039	0.3322	0.3395	0.4992	0.2728	0.3679	0.3201	0.2071	0.0000	0.6878	-0.0921	0.3991	0.4917	0.7572	0.3381	0.5822
arguana	-0.0783	0.1380	0.2486	0.1887	0.2213	0.0955	0.2138	0.0176	0.1355	-0.0244	-0.1077	0.0114	0.0000	-0.1318	0.1739	0.2019	0.2075	0.1142	0.2585
webis-touche2020	0.4463	1.0780	1.3964	1.2085	0.7155	1.0458	0.6189	0.4542	0.9961	0.9925	0.7339	0.9801	1.9412	0.0000	1.0682	1.0012	0.9801	0.6411	1.4572
quora	0.1194	0.4085	0.7013	0.2628	0.5199	0.5090	0.7723	0.4016	0.2235	0.6417	0.3682	0.3956	0.9855	-0.0290	0.0000	0.3092	1.0908	0.3052	0.4600
cqadupstack	0.0183	0.2966	0.4058	0.2240	0.3500	0.2973	0.4519	0.2366	0.0422	0.2664	0.1279	0.1974	0.5384	-0.0711	0.1235	0.0000	0.5761	0.1994	0.3605
scidocs	0.0338	0.3605	0.3102	0.3441	0.2865	0.3684	0.3105	0.2449	0.2953	0.0487	0.0768	0.2946	0.5523	0.0007	0.4794	0.3815	0.0000	0.2963	0.5662
scifact	0.0758	0.2987	0.4267	0.4940	0.3769	0.1481	0.1923	0.1765	0.2639	0.1721	0.0633	0.1216	0.4361	-0.0332	0.4201	0.2897	0.4064	0.0000	0.5726
msmarco	0.0607	0.2074	0.4519	0.1414	0.2889	0.5467	0.6855	0.2491	0.1942	0.2319	0.1276	0.2370	0.6474	-0.0257	0.1075	0.2448	0.7831	0.2161	0.0000
