	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.0485	0.0528	0.0290	0.0104	0.0423	0.0157	0.0516	0.0348	0.0537	0.0961	0.0815	0.0195	0.0817	0.0225	0.0249	0.0467	0.0654	0.0100
bioasq	0.0485	1.0000	0.2982	0.2481	0.1939	0.2180	0.2250	0.0869	0.2376	0.0664	0.0458	0.1244	0.2453	0.0201	0.2759	0.2964	0.2507	0.4028	0.1924
nfcorpus	0.0528	0.2982	1.0000	0.2162	0.1321	0.1990	0.1648	0.0993	0.1984	0.0829	0.0707	0.1422	0.1808	0.0306	0.2145	0.2018	0.1988	0.2839	0.1296
nq	0.0290	0.2481	0.2162	1.0000	0.2471	0.2462	0.3080	0.1243	0.2636	0.0747	0.0523	0.1280	0.2863	0.0222	0.3321	0.3005	0.1851	0.1911	0.2371
hotpotqa	0.0104	0.1939	0.1321	0.2471	1.0000	0.1758	0.6275	0.0528	0.2079	0.0317	0.0205	0.0595	0.4865	0.0079	0.4254	0.3369	0.1245	0.1262	0.8672
climate-fever	0.0423	0.2180	0.1990	0.2462	0.1758	1.0000	0.2139	0.1022	0.3033	0.0848	0.0656	0.1517	0.2748	0.0236	0.2635	0.2791	0.2029	0.2092	0.1741
fever	0.0157	0.2250	0.1648	0.3080	0.6275	0.2139	1.0000	0.0752	0.2470	0.0440	0.0282	0.0814	0.4880	0.0112	0.4527	0.3580	0.1475	0.1564	0.6028
dbpedia-entity	0.0516	0.0869	0.0993	0.1243	0.0528	0.1022	0.0752	1.0000	0.0936	0.0996	0.0792	0.1156	0.0754	0.0334	0.0875	0.0823	0.0864	0.0807	0.0495
fiqa	0.0348	0.2376	0.1984	0.2636	0.2079	0.3033	0.2470	0.0936	1.0000	0.0868	0.0582	0.1448	0.3188	0.0249	0.3287	0.3610	0.2361	0.2078	0.2067
signal1m	0.0537	0.0664	0.0829	0.0747	0.0317	0.0848	0.0440	0.0996	0.0868	1.0000	0.0955	0.0950	0.0505	0.0433	0.0572	0.0612	0.0767	0.0752	0.0301
trec-news	0.0961	0.0458	0.0707	0.0523	0.0205	0.0656	0.0282	0.0792	0.0582	0.0955	1.0000	0.1090	0.0348	0.0665	0.0404	0.0414	0.0566	0.0547	0.0189
robust04	0.0815	0.1244	0.1422	0.1280	0.0595	0.1517	0.0814	0.1156	0.1448	0.0950	0.1090	1.0000	0.0998	0.0588	0.1085	0.1077	0.1331	0.1445	0.0567
arguana	0.0195	0.2453	0.1808	0.2863	0.4865	0.2748	0.4880	0.0754	0.3188	0.0505	0.0348	0.0998	1.0000	0.0148	0.4718	0.4054	0.1824	0.1852	0.5019
webis-touche2020	0.0817	0.0201	0.0306	0.0222	0.0079	0.0236	0.0112	0.0334	0.0249	0.0433	0.0665	0.0588	0.0148	1.0000	0.0166	0.0163	0.0268	0.0276	0.0072
quora	0.0225	0.2759	0.2145	0.3321	0.4254	0.2635	0.4527	0.0875	0.3287	0.0572	0.0404	0.1085	0.4718	0.0166	1.0000	0.4418	0.2072	0.1998	0.4292
cqadupstack	0.0249	0.2964	0.2018	0.3005	0.3369	0.2791	0.3580	0.0823	0.3610	0.0612	0.0414	0.1077	0.4054	0.0163	0.4418	1.0000	0.2561	0.2175	0.3447
scidocs	0.0467	0.2507	0.1988	0.1851	0.1245	0.2029	0.1475	0.0864	0.2361	0.0767	0.0566	0.1331	0.1824	0.0268	0.2072	0.2561	1.0000	0.2267	0.1237
scifact	0.0654	0.4028	0.2839	0.1911	0.1262	0.2092	0.1564	0.0807	0.2078	0.0752	0.0547	0.1445	0.1852	0.0276	0.1998	0.2175	0.2267	1.0000	0.1277
msmarco	0.0100	0.1924	0.1296	0.2371	0.8672	0.1741	0.6028	0.0495	0.2067	0.0301	0.0189	0.0567	0.5019	0.0072	0.4292	0.3447	0.1237	0.1277	1.0000
