	trec-covid	bioasq	nfcorpus	nq	hotpotqa	climate-fever	fever	dbpedia-entity	fiqa	signal1m	trec-news	robust04	arguana	webis-touche2020	quora	cqadupstack	scidocs	scifact	msmarco
trec-covid	1.0000	0.2262	0.1326	0.1576	0.1901	0.1481	0.1125	0.1204	0.1893	0.0839	0.1216	0.1921	0.1223	0.1187	0.2229	0.1802	0.1115	0.1500	0.1857
bioasq	0.2262	1.0000	0.2456	0.2040	0.2663	0.1712	0.1847	0.1734	0.2162	0.1145	0.1120	0.2286	0.1506	0.1273	0.2649	0.2510	0.1609	0.3616	0.2840
nfcorpus	0.1326	0.2456	1.0000	0.1463	0.1673	0.1475	0.1376	0.1207	0.1770	0.1299	0.1308	0.1686	0.1628	0.0790	0.1822	0.2035	0.1445	0.2325	0.2180
nq	0.1576	0.2040	0.1463	1.0000	0.3571	0.2346	0.2950	0.2150	0.2336	0.1239	0.1479	0.2357	0.2167	0.0923	0.3157	0.2500	0.1296	0.1591	0.3674
hotpotqa	0.1901	0.2663	0.1673	0.3571	1.0000	0.2536	0.4283	0.2810	0.2546	0.1412	0.1473	0.2605	0.2172	0.1150	0.3146	0.2774	0.1528	0.1704	0.2978
climate-fever	0.1481	0.1712	0.1475	0.2346	0.2536	1.0000	0.2471	0.1602	0.2407	0.1513	0.1844	0.2611	0.3187	0.0936	0.2422	0.2394	0.1447	0.2148	0.2219
fever	0.1125	0.1847	0.1376	0.2950	0.4283	0.2471	1.0000	0.2145	0.1834	0.1309	0.1290	0.1990	0.1959	0.0794	0.2276	0.2034	0.1347	0.2007	0.2487
dbpedia-entity	0.1204	0.1734	0.1207	0.2150	0.2810	0.1602	0.2145	1.0000	0.1427	0.1006	0.1139	0.2022	0.1423	0.0749	0.1803	0.1589	0.0962	0.1361	0.1749
fiqa	0.1893	0.2162	0.1770	0.2336	0.2546	0.2407	0.1834	0.1427	1.0000	0.1642	0.1740	0.2306	0.2660	0.1535	0.3995	0.4044	0.1532	0.1669	0.2966
signal1m	0.0839	0.1145	0.1299	0.1239	0.1412	0.1513	0.1309	0.1006	0.1642	1.0000	0.1489	0.1247	0.1589	0.0658	0.1352	0.1525	0.1309	0.1288	0.1280
trec-news	0.1216	0.1120	0.1308	0.1479	0.1473	0.1844	0.1290	0.1139	0.1740	0.1489	1.0000	0.1607	0.1734	0.0860	0.1672	0.1663	0.1059	0.1285	0.1432
robust04	0.1921	0.2286	0.1686	0.2357	0.2605	0.2611	0.1990	0.2022	0.2306	0.1247	0.1607	1.0000	0.2397	0.1057	0.2560	0.2265	0.1411	0.1932	0.2249
arguana	0.1223	0.1506	0.1628	0.2167	0.2172	0.3187	0.1959	0.1423	0.2660	0.1589	0.1734	0.2397	1.0000	0.0802	0.2630	0.2478	0.1462	0.1715	0.2111
webis-touche2020	0.1187	0.1273	0.0790	0.0923	0.1150	0.0936	0.0794	0.0749	0.1535	0.0658	0.0860	0.1057	0.0802	1.0000	0.1795	0.1292	0.0636	0.0692	0.1227
quora	0.2229	0.2649	0.1822	0.3157	0.3146	0.2422	0.2276	0.1803	0.3995	0.1352	0.1672	0.2560	0.2630	0.1795	1.0000	0.3880	0.1403	0.1542	0.4034
cqadupstack	0.1802	0.2510	0.2035	0.2500	0.2774	0.2394	0.2034	0.1589	0.4044	0.1525	0.1663	0.2265	0.2478	0.1292	0.3880	1.0000	0.2094	0.2061	0.3294
scidocs	0.1115	0.1609	0.1445	0.1296	0.1528	0.1447	0.1347	0.0962	0.1532	0.1309	0.1059	0.1411	0.1462	0.0636	0.1403	0.2094	1.0000	0.1766	0.1635
scifact	0.1500	0.3616	0.2325	0.1591	0.1704	0.2148	0.2007	0.1361	0.1669	0.1288	0.1285	0.1932	0.1715	0.0692	0.1542	0.2061	0.1766	1.0000	0.2056
msmarco	0.1857	0.2840	0.2180	0.3674	0.2978	0.2219	0.2487	0.1749	0.2966	0.1280	0.1432	0.2249	0.2111	0.1227	0.4034	0.3294	0.1635	0.2056	1.0000
